target,port,status,banner
google.com,443,OPEN,""
github.com,443,OPEN,""
microsoft.com,443,OPEN,""
example.com,80,OPEN,"HTTP/1.1 200 OK\nDate: Fri, 13 Feb 2026 05:12:44 GMT\nContent-Type: text/html\nConnection: keep-alive\nCF-RAY: 9cd1d51ebfc49be7-MAA\nLast-Modified: Thu, 12 Feb 2026 14:00:39 GMT\nAllow: GET, HEAD\nAccept-Ranges: bytes\nAge: 732\ncf-cache-status: HIT\nServer: cloudflare"
neverssl.com,80,CLOSED/FILTERED,""
127.0.0.1,22,REFUSED/NO_ROUTE,""
127.0.0.1,6379,REFUSED/NO_ROUTE,""
gmail.com,993,CLOSED/FILTERED,""
gmail.com,995,CLOSED/FILTERED,""
smtp.gmail.com,465,OPEN,"220 smtp.gmail.com ESMTP d9443c01a7336-2ab29966612sm96839005ad.59 - gsmtp"
google.com,81,CLOSED/FILTERED,""
127.0.0.1,3000,REFUSED/NO_ROUTE,""
192.168.1.23,3000,OPEN,"HTTP/1.1 200 OK\nAccess-Control-Allow-Origin: *\nX-Content-Type-Options: nosniff\nX-Frame-Options: SAMEORIGIN\nFeature-Policy: payment 'self'\nX-Recruiting: /#/jobs\nAccept-Ranges: bytes\nCache-Control: public, max-age=0\nLast-Modified: Fri, 13 Feb 2026 04:20:47 GMT\nETag: W/""1252f-19c553ade4a""\nContent-Type: text/html; charset=UTF-8\nContent-Length: 75055\nVary: Accept-Encoding\nDate: Fri, 13 Feb 2026 05:13:58 GMT\nConnection: keep-alive\nKeep-Alive: timeout=5"
